Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
02/13/2006,18.9,0.4,1,0,0,33.992,5.57
02/11/2006,18.61,0.42,1,0,0,34.114,5.58
02/12/2006,18.33,0.2,1.1,0,0,34.021,5.62
02/10/2006,17.16,0.42,2,0,0,33.855,5.53
02/09/2006,14.36,0.75,5.8,0.02,3.3,33.725,4.92
02/08/2006,12.06,1.46,16.2,0.02,16.4,33.627,3.3
02/07/2006,11.48,1.99,25.9,0.02,23.2,33.561,2.04
02/04/2006,13.1,0.3,1,0,0,33.521,7.42
02/04/2006,13.1,0.3,1,0,0,33.521,7.42
02/05/2006,12.89,0.28,1,0,0,33.573,7.58
02/06/2006,12.87,0.28,1,0,0,33.579,7.6
02/07/2006,10.21,1.82,11,0.11,13.9,33.74,4.07
04/01/2006,9.73,2.1,23,0.13,20.6,33.79,3.54
04/02/2006,9.12,2.15,34,0.19,26,33.865,2.82
04/03/2006,9.11,2.17,34.5,0.19,26,33.868,2.79
04/04/2006,8.93,2.46,42,0.25,26.7,33.92,2.23
04/05/2006,13.45,0.77,1,0.12,5.7,33.547,6.42
04/05/2006,13.45,0.77,1,0.12,5.7,33.547,6.42
04/06/2006,13.43,0.77,1,0.13,5.7,33.546,6.36
04/06/2006,13.43,0.77,1,0.13,5.7,33.546,6.35
04/07/2006,12.47,0.89,3.8,0.11,6.3,33.553,6.18
04/07/2006,10.02,1.79,23,0.16,17.9,33.652,3.93
04/08/2006,9.36,1.99,30.6,0.14,24,33.677,3.39
04/08/2006,8.77,2.01,33.4,0.06,25.4,33.704,3.07
04/09/2006,8.42,2.04,36.1,0.03,26.5,33.732,2.92
04/09/2006,8.26,2.12,39.6,0.02,27.4,33.76,2.8
04/10/2006,7.84,2.34,45.8,0.01,29.1,33.821,2.25
04/10/2006,13.56,0.5,0,0.12,5.5,33.339,6.68
04/11/2006,13.57,0.5,0,0.11,5.4,33.339,6.7
04/11/2006,13.51,0.5,0.1,0.11,5.5,33.338,6.7
04/12/2006,12.74,0.61,1.2,0.13,6.3,33.336,6.73
04/12/2006,11.82,0.8,2,0.16,6.9,33.343,6.75
04/13/2006,11.56,0.9,4.5,0.17,8.3,33.348,6.51
04/14/2006,9.47,1.76,27.5,0.23,21.2,33.393,4.12
04/15/2006,8.68,1.93,34.8,0,25.3,33.514,3.04
04/16/2006,8.43,2.06,38.1,0,26.3,33.579,2.81
04/17/2006,8.16,2.19,41.4,0,27.3,33.647,2.66
04/18/2006,13.5,0.58,2,0.01,5.1,33.341,6.39
07/24/2006,13.4,0.58,3,0.02,5.1,33.34,6.52
07/23/2006,11.95,0.88,9.2,0.03,9.2,33.393,6.27
07/22/2006,10.47,1.21,16,0.04,14,33.488,5.86
07/20/2006,10.39,1.23,16.6,0.04,14.4,33.489,5.8
07/21/2006,9.41,1.78,29.9,0.14,24.4,33.557,4.24
07/19/2006,8.93,1.88,32.3,0.04,26.2,33.596,3.72
07/18/2006,8.5,1.97,35.7,0,28,33.636,3.25
07/15/2006,8.23,2.06,39.7,0,29.8,33.677,2.88
07/16/2006,7.95,2.28,45.8,0,32.9,33.762,2.12
07/17/2006,15.86,0.3,2,0,0.6,32.813,6.29
07/14/2006,15.86,0.3,2,0,0.6,32.813,6.29
07/13/2006,15.85,0.3,2,0.01,0.1,32.811,6.3
07/12/2006,15.85,0.3,2,0.01,0,32.811,6.3
07/08/2006,15.85,0.3,2,0.01,0,32.835,6.37
07/09/2006,15.84,0.3,2,0.01,0,32.872,5.78
07/10/2006,12.35,0.28,2.1,0.01,0,32.931,6.47
07/11/2006,10.84,0.33,2.9,0.02,0,33.005,6.16
10/21/2006,10.13,0.6,6.7,0.04,5.3,33.078,5.6
10/22/2006,9.54,0.95,13.6,0.03,12.2,33.151,5.08
10/23/2006,15.6,0.39,3,0,1.4,33.39,6.29
10/24/2006,14.45,0.3,4,0,3.1,33.416,6.4
10/25/2006,12.98,0.56,6.2,0.08,6.3,33.441,6.23
10/26/2006,11.63,0.9,9.4,0.18,9.9,33.475,6.01
10/27/2006,10.3,1.24,18,0.25,16.1,33.561,4.77
10/28/2006,10.29,1.26,18.3,0.24,16.4,33.562,4.71
10/29/2006,10.07,1.67,25.4,0.03,22.5,33.59,3.55
10/30/2006,9.45,1.84,30.7,0,25.7,33.618,3.01
10/31/2006,8.74,1.85,34.3,0,27,33.648,3.08
11/01/2006,8.24,1.85,36.9,0,27.8,33.679,3.25
11/02/2006,15.74,0.44,3,0,1.3,33.283,6.2
11/03/2006,15.74,0.44,3,0,1.3,33.283,6.2
11/04/2006,14.39,0.39,3.7,0,1.5,33.267,6.31
11/05/2006,13.96,0.39,4,0,1.5,33.264,6.32
01/31/2007,12.79,0.6,6.4,0.06,4.6,33.32,6.04
02/01/2007,11.65,0.91,10,0.16,9.2,33.428,5.57
01/28/2007,10.18,1.4,20.4,0.13,18.7,33.498,4.63
01/29/2007,9.57,1.62,25.7,0.02,22.6,33.54,3.77
01/30/2007,9.26,1.88,32,0,25.7,33.583,2.82
01/27/2007,15.44,0.41,1,0.01,0.9,33.228,6.07
01/24/2007,15.08,0.44,1,0.02,1.5,33.275,6.42
01/25/2007,14.13,0.5,1,0.03,1.8,33.254,6.25
01/26/2007,13.03,0.55,1,0.07,2.1,33.235,6.04
01/23/2007,12.91,0.57,1.3,0.08,2.5,33.253,6.05
01/22/2007,11.87,0.83,5,0.16,7.3,33.431,6.19
01/21/2007,11.03,1.14,12.8,0.25,13.8,33.567,5.26
01/18/2007,10.86,1.21,15,0.26,15.4,33.591,4.94
01/19/2007,10.11,1.44,21,0.07,20,33.662,4.22
01/20/2007,9.84,1.49,22.8,0.05,21.1,33.687,4.02
01/16/2007,9.33,1.57,26,0,22.5,33.742,3.72
01/13/2007,9.13,1.61,27.3,0,22.9,33.771,3.65
01/14/2007,8.91,1.66,29,0,23.5,33.813,3.55
01/15/2007,8.76,1.76,31.9,0,25.1,33.873,3.25
04/28/2007,8.7,1.79,33,0,25.8,33.896,3.15
04/29/2007,8.42,1.77,35,0,26.2,33.944,3.25
04/24/2007,8.16,2.04,42,0,29.7,34.022,2.93
04/25/2007,7.91,2.14,45.1,0,31,34.021,2.7
04/13/2007,7.75,2.21,47,0,31.8,34.021,2.56
04/14/2007,15.96,0.3,2,0,0,32.865,5.86
04/15/2007,15.33,0.36,2,0,0,32.875,5.97
04/11/2007,14.72,0.39,1.3,0,0.2,32.986,6.24
04/10/2007,13.86,0.41,1,0,0.6,33.061,6.41
04/07/2007,13.69,0.41,1.1,0,0.7,33.058,6.4
04/08/2007,12.16,0.44,2,0,1.5,33.009,6.27
04/09/2007,10.77,0.44,3.7,0.19,1.6,32.898,6.13
04/06/2007,10.67,0.44,4,0.21,1.6,32.894,6.11
04/05/2007,9.88,0.97,13,0.13,11.5,33.226,5.15
04/04/2007,9.54,1.09,15.9,0.07,14.3,33.374,4.84
03/28/2007,9.22,1.24,20,0,17.6,33.565,4.43
03/29/2007,9.24,1.57,26.2,0,22.3,33.714,3.86
04/02/2007,9.27,1.82,31,0,25.8,33.812,3.4
04/03/2007,8.98,1.87,34.6,0,27.5,33.882,2.93
07/13/2007,8.92,1.88,35,0,27.6,33.89,2.87
07/12/2007,8.75,2.04,39,0,29.7,33.974,2.56
07/10/2007,8.69,2.06,39.6,0,29.9,33.985,2.5
07/11/2007,8.31,2.15,42,0,30.6,34.017,2.26
07/09/2007,7.93,2.15,44.4,0,31.3,34.018,2.34
07/08/2007,7.84,2.15,45,0,31.5,34.016,2.37
07/08/2007,16.68,0.28,2,0,0,32.847,5.87
07/07/2007,15.92,0.28,2,0,0,32.841,5.86
07/05/2007,15.76,0.31,1.5,0,0,32.841,5.93
07/06/2007,15.61,0.33,1,0,0,32.841,6.01
07/04/2007,12.21,0.35,1.9,0,0,32.944,6.46
07/03/2007,10.45,0.69,7.3,0,5.1,33.008,5.88
07/02/2007,9.65,1.02,13.3,0,11.5,33.075,5.18
06/28/2007,9.21,1.26,18.8,0,17,33.148,4.66
06/29/2007,8.44,1.65,30.8,0,24.2,33.305,3.84
06/30/2007,16.12,0.3,2,0,0,33.108,5.78
07/01/2007,16.12,0.3,2,0,0,33.108,5.78
11/18/2007,15.85,0.3,2,0,0,33.107,5.82
11/17/2007,15.58,0.3,2,0,0,33.107,5.85
11/15/2007,13.53,0.28,2.1,0,0,33.151,6.18
11/16/2007,12.49,0.38,3.8,0.01,0.2,33.211,5.96
11/14/2007,10.98,0.87,10.5,0.03,8.5,33.275,5.24
11/13/2007,10.06,1.38,19.2,0.03,17.1,33.343,4.17
11/12/2007,9.73,1.75,27.4,0,23,33.414,3.13
11/10/2007,9.09,2.17,38.8,0.03,29.1,33.565,2.09
11/11/2007,15.96,0.3,2,0,0,33.072,5.64
11/09/2007,15.96,0.3,2,0,0,33.072,5.64
11/08/2007,15.97,0.28,2,0,0,33.075,5.61
11/07/2007,15.97,0.28,2,0,0,33.075,5.61
11/06/2007,15.96,0.29,2,0,0,33.082,5.63
11/05/2007,15.59,0.33,2,0,0,33.111,5.73
11/03/2007,15.16,0.32,2.1,0,0,33.118,5.73
11/04/2007,12.49,0.28,3,0,0,33.163,5.74
01/26/2008,12.19,0.37,4.7,0.12,1.1,33.212,5.52
01/27/2008,10.92,0.66,9,0.08,6.6,33.265,5.03
01/25/2008,9.54,1.01,15.1,0,13.5,33.322,4.49
01/29/2008,18.15,0.17,0,0,0,33.61,6.3
01/24/2008,17.75,0.19,0,0,0,33.612,6.45
01/19/2008,16.92,0.22,0.5,0,0,33.608,6.49
01/23/2008,15.77,0.25,1,0,0,33.604,6.53
01/18/2008,12.81,0.86,10.5,0.08,7.9,33.614,5.14
01/16/2008,10.39,1.59,21.8,0.12,20.4,33.631,3.53
01/20/2008,9.56,1.95,29.4,0.08,26.5,33.651,2.77
01/22/2008,9.27,2.12,34.7,0.03,29.1,33.675,2.38
01/15/2008,9.08,2.23,38.7,0,30.6,33.703,2.09
01/21/2008,8.87,2.5,43.9,0,33.1,33.772,1.61
01/14/2008,18.82,0.22,1,0,0,33.686,5.65
01/13/2008,14.16,0.3,2,0,0,33.634,6.66
01/12/2008,12.16,0.65,7.4,0.12,4.9,33.609,5.96
01/11/2008,11.42,1.05,14,0.23,11.4,33.584,4.72
01/07/2008,9.97,1.46,22.3,0.08,19.9,33.615,3.77
01/08/2008,9.5,1.75,27.7,0,24.1,33.654,3.11
01/09/2008,9.16,1.95,32.8,0,27,33.695,2.73
01/10/2008,8.83,2.04,36.8,0,28.7,33.737,2.6
04/07/2008,8.58,2.1,39.9,0,29.8,33.78,2.48
04/07/2008,14.08,0.72,2,0.09,5.7,33.55,6.37
04/23/2008,13.18,0.8,2,0.09,6.5,33.55,6.62
04/24/2008,11.18,1.19,11,0.07,12.9,33.59,5.39
04/25/2008,10.36,1.41,18,0.09,16.8,33.65,4.72
04/06/2008,15.78,0.22,0,0,0,33.61,6.52
04/08/2008,15.66,0.22,0,0,0,33.59,6.5
04/08/2008,12.61,0.55,5,0,3.4,33.59,5.89
04/05/2008,10.78,1.24,19,0,15.9,33.66,4.26
04/04/2008,9.28,1.99,36,0,27.7,34.03,2.4
04/03/2008,9.05,2.1,40,0,29.6,34.12,2.2
04/01/2008,16.35,0.14,0,0,0,33.6,6.29
04/02/2008,10.5,1.35,21,0,18.6,33.74,3.83
03/31/2008,9.71,1.66,28,0,23.5,33.89,3.26
03/30/2008,8.95,2.15,41,0,30.2,34.15,2.15
03/29/2008,8.62,2.35,47,0,32.2,34.21,1.65
03/25/2008,15.12,0.55,1,0,0,33.58,6.63
03/26/2008,15.06,0.36,1,0,0,33.58,6.59
03/27/2008,13.11,0.77,6,0,6.5,33.49,5.64
03/28/2008,10.75,1.1,12,0,13,33.39,5.02
08/29/2008,8.39,1.63,32,0,24.9,33.91,3.66
08/28/2008,7.83,1.96,43,0,29.6,33.97,3.09
08/26/2008,16.35,0.3,2,0,0,33.13,5.77
08/27/2008,15.75,0.28,2,0,0,33.12,5.95
08/25/2008,9.29,1.21,19,0,15.6,33.7,4.53
08/24/2008,8.58,1.93,35,0,27.8,33.97,2.94
08/21/2008,17.84,0.17,2,0,0,33.56,6.52
08/22/2008,17.8,0.17,2,0,0,33.56,6.57
08/23/2008,13.23,1.08,11,0,6.2,33.58,5.04
08/20/2008,10.99,0.52,22,0,6.2,33.72,3.74
08/19/2008,16.24,0.44,3,0,0.8,33.59,6.13
08/18/2008,13.02,0.5,3,0,1.6,33.53,6.21
08/15/2008,11.24,0.58,5,0.07,3.5,33.54,6.1
08/14/2008,10,1.05,11,0.06,9,33.76,5
08/16/2008,18.56,0.22,1,0,0,33.62,6.01
08/17/2008,18.07,0.22,2,0,0,33.59,6
10/29/2008,12.12,1.57,10,0.19,6.8,33.49,4.67
10/28/2008,11.15,1.19,15,0.1,13.8,33.54,4.37
10/26/2008,9.37,1.99,33,0,26.7,34.01,2.69
10/27/2008,9.21,2.15,37,0,27.9,34.1,2.36
10/25/2008,19.18,0.25,1,0,0,33.64,5.44
10/24/2008,17.6,0.28,1,0,0,33.62,6
10/23/2008,13.16,0.63,8,0.11,4.5,33.53,5.61
10/20/2008,10.8,1.38,18,0.12,17.2,33.63,3.88
10/21/2008,8.84,2.04,36,0,28.3,34.05,2.6
10/22/2008,8.37,2.32,44,0,31.6,34.12,1.98
10/30/2008,19.01,0.22,0,0,0,33.57,5.95
10/19/2008,16.67,0.25,1,0,0,33.5,6.36
10/18/2008,11.63,0.77,9,0.16,7.1,33.45,5.21
10/14/2008,10.88,1.35,18,0.07,16.7,33.62,3.75
10/15/2008,9.31,1.9,32,0,26.9,34.02,2.84
10/16/2008,8.85,2.01,36,0,28.6,34.04,2.67
10/17/2008,19.19,0.22,2,0,0,33.58,5.68
01/23/2009,17.5,0.25,1,0,0,33.56,5.87
01/22/2009,12.78,0.28,2,0,0,33.46,6.22
01/21/2009,11.43,0.66,7,0.06,5.4,33.41,5.69
01/20/2009,9.45,1.96,31,0,26.6,34.03,2.71
01/19/2009,9.09,2.15,37,0,29.5,34.1,2.35
01/18/2009,19.46,0.3,0,0,0,33.61,5.79
01/17/2009,18.22,0.22,2,0,0.1,33.62,6.06
01/14/2009,13.15,0.83,10,0.17,7.3,33.58,5.22
01/15/2009,10.76,1.35,19,0.14,17.1,33.66,3.84
01/16/2009,8.86,2.1,39,0,29,34.03,2.43
01/13/2009,8.61,2.24,44,0,31.2,34.17,1.97
01/12/2009,18.28,0.36,1,0,0,33.66,5.82
01/11/2009,17.71,0.22,1,0,0,33.62,5.91
01/11/2009,13.45,0.8,9,0.02,6.6,33.47,5.42
01/08/2009,10.65,1.38,20,0.02,17.8,33.62,3.92
01/08/2009,8.69,2.15,41,0,29.7,34.09,2.42
01/09/2009,8.29,2.48,48,0.01,33,34.16,1.89
01/10/2009,15.66,0.33,1,0,0,33.52,6.13
03/22/2009,15.66,0.3,1,0,0,33.53,6.16
03/21/2009,15.43,0.3,0,0.01,0.4,33.62,6.26
03/20/2009,13.65,0.69,5,0.02,4.3,33.53,5.68
03/19/2009,8.88,1.82,31,0,24.7,33.87,3.22
03/18/2009,8.04,2.07,42,0,30,34.01,2.82
03/18/2009,14.9,0.36,1,0.02,0.1,33.27,6.14
03/17/2009,14.87,0.36,1,0.02,0.2,33.27,6.16
03/14/2009,13.73,0.36,2,0.02,0.4,33.21,6.13
03/14/2009,13.28,0.47,2,0.06,1.5,33.24,6.02
03/15/2009,9.29,1.55,24,0.01,21.8,33.67,3.86
03/15/2009,8.58,1.93,35,0,28.2,33.94,3.04
03/16/2009,15.2,0.33,2,0,0,33.15,5.33
03/16/2009,15.18,0.28,2,0,0,33.15,6.12
03/17/2009,14.65,0.28,2,0,0,33.16,6.12
03/17/2009,13.91,0.33,2,0.02,0.3,33.24,6.06
03/13/2009,9.39,1.1,16,0.01,14.5,33.55,4.68
03/12/2009,8.5,1.68,32,0.01,25.7,33.88,3.56
03/11/2009,16.25,0.3,2,0,0,33.15,5.7
03/08/2009,15.68,0.28,2,0,0,33.11,5.71
03/09/2009,14.89,0.3,2,0,0,33.18,5.84
03/10/2009,10.12,0.83,11,0.01,9,33.4,5.11
08/03/2009,8.65,1.63,31,0.01,25,33.85,3.65
08/02/2009,16.59,0.28,2,0,0,33.14,5.8
07/31/2009,16.59,0.28,2,0,0,33.14,5.77
08/01/2009,16.58,0.28,2,0,0,33.14,5.76
07/30/2009,15.35,0.28,2,0,0,33.12,6.08
07/29/2009,9.65,1.16,16,0.01,15.4,33.5,4.48
07/27/2009,8.87,1.66,29,0,25,33.83,3.71
07/28/2009,16.37,0.25,2,0,0,33.13,6.01
07/26/2009,16.37,0.25,2,0,0,33.13,5.99
07/26/2009,16.3,0.22,2,0,0,33.12,5.88
07/22/2009,16.05,0.25,2,0,0,33.09,5.84
07/22/2009,9.81,1.02,14,0.01,13.1,33.43,4.9
07/25/2009,8.7,1.77,33,0,26.8,33.88,3.7
07/24/2009,16.85,0.3,2,0,0,33.13,5.7
07/21/2009,16.82,0.3,2,0,0,33.13,5.7
07/21/2009,10.67,0.8,9,0.01,8,33.24,5.23
07/23/2009,9.16,1.57,26,0.01,22.3,33.71,3.8
07/23/2009,18.69,0.25,2,0,0,33.54,5.51
07/20/2009,18.69,0.25,2,0,0.1,33.54,5.55
07/20/2009,18.57,0.25,2,0,0,33.55,5.62
07/19/2009,16.6,0.22,2,0,0,33.5,6.05
07/18/2009,14.09,0.33,4,0,1.9,33.92,5.44
07/15/2009,10.45,0.99,15,0,12.9,33.73,4.89
07/15/2009,17.68,0.28,0,0,0,33.6,5.52
07/16/2009,15.85,0.39,3,0,0,33.6,6.08
07/16/2009,11.28,1.05,11,0.24,9.4,33.52,5.06
07/17/2009,10.53,1.6,19,0.37,17.8,33.59,3.89
07/17/2009,17.42,0.3,2,0,0.1,33.35,5.7
11/22/2009,11.63,0.75,8,0.08,6.1,33.3,5.79
11/21/2009,10.79,1.57,16,0.4,15.8,33.57,3.94
11/20/2009,9.48,2.15,33,0,26.9,34.02,2.7
11/23/2009,9.16,2.35,37,0,29,34.12,2.2
11/18/2009,19.89,0.28,2,0,0,33.66,5.53
11/19/2009,17.22,0.28,2,0,0,33.64,5.52
11/17/2009,11.95,0.33,2,0,0,33.29,5.9
11/16/2009,10.51,0.63,6,0.04,3.9,33.49,6.03
11/13/2009,9.43,1.93,29,0,24.2,34.03,2.8
11/14/2009,9.22,2.07,33,0,27.2,34.12,2.57
11/15/2009,17.68,0.28,3,0.01,0.2,33.66,5.81
11/12/2009,17.44,0.33,3,0.02,0.3,33.62,5.79
11/11/2009,11.82,1.6,22,0.14,19.5,33.57,3.54
11/10/2009,8.74,2.26,40,0.01,29.5,34.06,2.24
11/06/2009,8.01,2.4,48,0.02,32.2,34.08,1.98
11/07/2009,17.9,0.39,3,0,0.3,33.71,5.85
11/08/2009,17.46,0.28,3,0.01,0.2,33.66,5.74
11/09/2009,10.62,1.41,20,0.17,17.1,33.71,4.03
01/31/2010,9.69,1.55,24,0.09,20,33.79,3.6
02/01/2010,8.48,2.35,44,0,31,34.09,2
01/30/2010,7.96,2.59,51,0,34.1,34.14,1.6
01/28/2010,12.16,0.64,15,0.04,0.6,33.7,7.31
01/29/2010,12.16,0.64,15,0.04,0.6,33.7,7.31
01/27/2010,11.76,0.81,16.8,0.09,4.3,33.708,6.44
01/26/2010,11.68,0.84,17,0.1,5.1,33.71,6.27
01/25/2010,10.64,1.25,23.2,0.23,14.8,33.754,4.58
01/20/2010,10.52,1.3,24,0.24,15.9,33.76,4.39
01/23/2010,9.81,1.56,29.5,0.2,20.2,33.796,3.53
01/24/2010,9.75,1.58,30,0.2,20.5,33.8,3.47
01/19/2010,9.35,1.72,33,0.72,24.5,33.89,2.91
01/18/2010,9.33,1.73,33,0.75,24.6,33.89,2.9
01/17/2010,9.17,1.68,37.8,0.24,24.7,33.948,2.5
01/16/2010,9.16,1.68,38,0.22,24.7,33.95,2.48
01/13/2010,8.48,2.16,43,0,28.7,33.91,3.27
01/14/2010,14.59,0.55,2,0.01,1.7,33.24,6.05
01/15/2010,14.59,0.55,2,0.01,1.7,33.24,6.05
05/16/2010,14.56,0.93,8.1,0.13,7.5,33.249,6.07
05/15/2010,14.56,0.98,9,0.15,8.4,33.25,6.07
05/17/2010,13.76,1.02,11,0.17,9.3,33.349,6.09
05/14/2010,12.55,1.08,12,0.2,10.2,33.502,6.11
05/13/2010,12.41,1.08,12,0.2,10.3,33.52,6.11
05/06/2010,9.52,1.77,31,0.31,22.3,33.836,3.66
05/05/2010,10.78,1.54,17.1,0.5,16.8,33.46,5.35
05/03/2010,9.49,1.67,22.3,0.32,20.2,33.575,4.52
05/04/2010,8.94,1.73,26.2,0,22.1,33.734,3.77
05/02/2010,8.73,1.94,34.1,0,26.1,33.904,3.21
05/01/2010,8.4,2.01,38.8,0,28.3,33.922,2.76
04/30/2010,7.6,2.13,47.4,0,30.7,33.961,2.19
04/27/2010,14.82,0.51,2,0,0.3,32.98,6.03
04/28/2010,14.82,0.51,2,0,0.3,32.98,6.03
04/29/2010,14.78,0.51,2,0,0.2,32.971,6.05
05/02/2010,14.77,0.51,2,0,0.2,32.97,6.05
05/02/2010,14.47,0.52,2,0.01,0.6,32.957,6.08
08/16/2010,14.14,0.53,2,0.02,0.8,32.95,6.12
08/15/2010,14.11,0.53,2,0.02,0.8,32.95,6.12
08/14/2010,12.12,0.42,2.1,0,0,33.034,6.28
08/12/2010,10.78,0.54,4,0.12,1.4,33.189,6.04
08/13/2010,10.22,1.29,15,0.61,15,33.398,4.77
08/11/2010,9.16,1.17,15,0.12,15,33.64,4.84
08/10/2010,9.12,1.19,15.9,0.11,15.4,33.642,4.77
08/06/2010,8.8,1.58,28.7,0.04,21.6,33.672,3.7
08/07/2010,8.05,1.79,36,0.13,26.3,33.734,3.5
08/08/2010,16.73,0.42,1,0.01,0,33.11,5.7
08/09/2010,16.73,0.42,1,0.01,0,33.11,5.7
08/05/2010,16.68,0.45,1,0,0,33.11,5.67
08/04/2010,16.67,0.45,1,0,0,33.11,5.67
08/03/2010,16.63,0.44,1,0,0,33.11,5.72
07/31/2010,16.58,0.42,1,0,0,33.11,5.77
07/30/2010,16.58,0.42,1,0,0,33.11,5.77
08/01/2010,16.51,0.42,1,0.02,0.2,33.111,5.69
08/02/2010,14.23,0.48,1.7,0.01,0.2,33.129,5.7
11/12/2010,11.68,0.76,6,0.09,6.7,33.25,5.6
11/10/2010,11.58,0.78,6.2,0.09,7.1,33.265,5.56
11/11/2010,10.4,1.03,10.9,0.04,13.2,33.444,4.85
11/09/2010,9.05,1.54,25.3,0.02,24.1,33.748,3.85
11/08/2010,14.95,0.66,5,0.04,1.6,33.56,5.71
11/07/2010,14.95,0.66,5,0.04,1.6,33.56,5.71
11/04/2010,14.9,0.62,5,0.05,1.7,33.575,5.88
11/05/2010,14.89,0.62,5,0.05,1.7,33.58,5.9
11/06/2010,14.44,0.72,6.3,0.11,3.5,33.597,5.68
11/03/2010,13.93,0.83,7.8,0.18,5.6,33.62,5.44
11/02/2010,10.66,1.49,18.9,0.18,17,33.689,3.9
11/01/2010,10.28,1.65,23,0.06,19.6,33.79,3.47
10/28/2010,10.2,1.68,23.9,0.06,20.2,33.801,3.39
10/29/2010,10.01,1.81,26.8,0.05,21.9,33.848,3.08
10/30/2010,9.79,1.84,28.9,0.03,22.3,33.896,2.81
10/31/2010,9.77,1.84,29,0.03,22.3,33.9,2.79
01/30/2011,9.61,1.87,30.8,0.02,24,33.964,2.53
01/29/2011,9.6,1.87,31,0.02,24.2,33.97,2.51
01/28/2011,15.27,0.38,0,0,0,33.64,6.86
01/27/2011,15.27,0.38,0,0,0,33.64,6.86
01/27/2011,14.85,0.4,0,0,0,33.64,6.61
01/25/2011,12.66,0.95,9.8,0.07,9.9,33.655,5.11
01/26/2011,10.56,1.52,20.5,0.12,20.2,33.672,3.64
01/24/2011,9.97,1.74,25.7,0.04,23.2,33.712,3.09
01/23/2011,9.63,1.88,30.1,0.02,24.7,33.772,2.73
01/20/2011,9.46,1.92,32.9,0.03,26.2,33.839,2.4
01/21/2011,9.42,2.01,34.3,0.01,27.2,33.909,2.31
01/22/2011,9.35,2.06,35.4,0.01,27.5,33.98,2.25
01/19/2011,8.96,2.08,39.8,0.05,28.1,34.115,2.07
01/18/2011,8.63,2.18,44,0.04,29.6,34.19,1.65
01/17/2011,16.11,0.36,0,0,0.1,33.64,5.6
01/17/2011,16.12,0.34,0,0,0.1,33.64,5.84
01/16/2011,14.43,0.63,5.3,0.14,5.3,33.646,5.4
01/13/2011,9.91,1.57,23.3,0.05,24.8,33.772,3.23
01/14/2011,9.49,1.73,28.7,0.02,27.7,33.913,2.75
01/15/2011,9.35,1.78,31,0.01,28.7,33.99,2.58
04/26/2011,9.17,1.82,32.8,0.01,29.6,34.008,2.54
04/25/2011,8.92,1.87,34.8,0.01,30.8,34.038,2.47
04/23/2011,8.51,2.02,39.6,0.01,33.3,34.101,2.18
04/24/2011,15.13,0.49,3,0.04,0.5,33.51,5.91
04/22/2011,15.13,0.49,2,0.03,0.5,33.5,5.93
04/21/2011,15.11,0.48,2,0.03,0.6,33.503,5.93
04/20/2011,15.06,0.47,2,0.03,0.6,33.508,5.93
04/17/2011,14.75,0.49,2,0.04,0.7,33.525,5.9
04/18/2011,11.5,0.67,5.5,0.13,5.2,33.565,5.49
04/19/2011,9.63,1.23,16.2,0.06,16.5,33.629,4.48
04/16/2011,9.18,1.58,24,0.02,23.4,33.723,3.73
04/15/2011,8.91,1.73,28.8,0.01,26.1,33.854,3.28
04/14/2011,8.9,1.73,29,0.01,26.1,33.86,3.27
04/09/2011,15.06,0.51,1,0,0.9,33.17,5.83
04/10/2011,15.06,0.51,1,0,0.9,33.17,5.83
04/11/2011,15.07,0.51,1,0.02,1,33.17,5.83
04/12/2011,15.07,0.51,1,0.02,1,33.17,5.83
04/13/2011,15.07,0.5,1,0.02,1.1,33.184,5.81
08/12/2011,15.07,0.5,1,0.02,1.1,33.201,5.8
08/11/2011,14.39,0.49,1.2,0.02,1,33.244,5.86
08/10/2011,11.55,0.6,3.5,0.06,2.2,33.319,6.12
08/09/2011,10.82,0.96,9,0.24,10.4,33.421,5.66
08/08/2011,10.17,0.92,9,0.15,11.3,33.56,5.05
08/07/2011,10.1,0.92,9,0.13,11.4,33.58,4.97
08/06/2011,9.51,1.15,14.6,0.07,16.3,33.611,4.5
08/03/2011,8.63,1.65,28,0.03,26,33.687,3.49
08/04/2011,18.65,0.29,0,0.01,0,33.63,5.97
08/05/2011,18.38,0.27,0,0,0,33.63,2.88
08/02/2011,17.56,0.35,0.7,0.01,0.2,33.63,3.7
08/01/2011,14.49,0.74,6.7,0.2,5,33.664,5.14
07/31/2011,11.63,1.29,17.2,0.17,14.5,33.745,4.04
07/27/2011,9.81,1.73,29,0.08,22.8,33.889,2.92
07/28/2011,9.44,1.87,36,0.02,26.3,34.05,2.36
07/29/2011,9.4,1.91,36.3,0.02,26.5,34.053,2.33
07/30/2011,9.25,2.04,37.4,0.03,27.2,34.064,2.19
11/01/2011,9.04,2.09,40.6,0.04,28.1,34.088,1.92
10/31/2011,18.38,0.47,0,0,0.1,33.6,6.25
10/29/2011,18.38,0.47,0,0,0.1,33.6,6.25
10/30/2011,18.39,0.31,0,0,0.1,33.609,6.28
10/28/2011,18.39,0.29,0,0,0.1,33.61,6.28
10/27/2011,17.94,0.38,1.4,0,0.3,33.589,6.07
10/26/2011,16.64,0.68,2.8,0,0.5,33.577,5.84
10/23/2011,11.84,1.46,18.3,0.12,14.9,33.607,4.36
10/24/2011,10.52,1.48,22,0,18.3,33.76,3.44
10/25/2011,10.33,1.55,23.8,0,19.5,33.774,3.24
